title,description,price,url,category,brand
Nike Dunk Low Panda,Classic black and white leather Nike Dunk Low sneakers in gently used condition,85,https://example.com/listing/1,shoes,Nike
Vintage Levi's 501 Baggy Jeans,"High-waisted baggy denim jeans from Levi's, faded wash with minor distressing",42,https://example.com/listing/2,jeans,Levi's
Oversized Oxford Button-Down Shirt,Cream colored oversized oxford cotton shirt with classic collar,28,https://example.com/listing/3,shirt,Ralph Lauren
Y2K Graphic Baby Tee,Cropped graphic tee with faded print in true Y2K style,18,https://example.com/listing/4,shirt,Vintage
Vintage Leather Bomber Jacket,Brown leather bomber jacket with ribbed cuffs and collar,95,https://example.com/listing/5,jacket,Wilson's Leather
Nike Air Force 1 White,Classic all white leather Air Force 1 sneakers lightly worn,60,https://example.com/listing/6,shoes,Nike
Carhartt Detroit Jacket,Heavyweight duck canvas work jacket with blanket lining,70,https://example.com/listing/7,jacket,Carhartt
Baggy Wide Leg Denim,Dark wash wide leg jeans with relaxed baggy fit,38,https://example.com/listing/8,jeans,Wrangler
Vintage Band Tee Faded Black,Faded black graphic band t-shirt with distressed print,22,https://example.com/listing/9,shirt,Vintage
Adidas Samba OG,Classic white and black Samba sneakers with gum sole,65,https://example.com/listing/10,shoes,Adidas
Denim Trucker Jacket Light Wash,Classic light wash denim trucker jacket with button front,45,https://example.com/listing/11,jacket,Levi's
Oxford Striped Long Sleeve Shirt,Blue and white striped oxford shirt oversized fit,26,https://example.com/listing/12,shirt,Brooks Brothers
Vintage Corduroy Pants Brown,Wide wale corduroy trousers in brown with relaxed fit,32,https://example.com/listing/13,jeans,Vintage
New Balance 550 Sneakers,White and green leather New Balance 550 low tops,55,https://example.com/listing/14,shoes,New Balance
Puffer Vest Vintage Nylon,Quilted nylon puffer vest in navy blue vintage cut,34,https://example.com/listing/15,jacket,Columbia
